; Amazonas;Ancash;Apurimac; Arequipa;Ayacucho;Cajamarca; Callao;Cusco;Huancavelica;Huánuco; Ica; Junín; La Libertad; Lambayeque;Lima; Loreto; Madre de Dios; Moquegua; Pasco;Piura; Puno;San Martín; Tacna ; Tumbes; Ucayali; No registrado; Total
Oct-15;1.25644691;268.9568862;13.50578531;291.8850922;12.42843384;152.7467591;223.6498953;97.38893842;2.80972609;18.80147221;229.9780559;69.26471608;244.2394604;57.68473797;677.1571384;3.87579403;7.60141103;214.9688247;64.51700573;207.8909548;132.34129;7.16043771;27.44769403;10.43218453;1.68914719;73.9376914;3113.615979
Nov-15;1.54550933;241.6199847;12.76991996;344.0042408;13.34746368;147.4509759;173.6475333;173.5355126;21.32501758;9.96008103;246.4069349;83.9919338;187.6845172;65.15104676;600.3758226;5.04166878;6.44684855;109.9010029;88.76128727;264.1325975;75.38223786;9.44352544;19.51626398;7.87934604;2.25165026;34.13422946;2945.707152
Dic-15;0.95051254;254.8399406;6.52807172;417.684744;16.27385014;136.1625859;228.8967151;115.8567954;19.27848047;9.28514191;311.4203527;120.6324278;258.1292259;52.15626624;648.6954519;2.48912936;4.49090094;141.0809723;109.8151359;228.9794325;93.99356208;5.6676656;20.25811957;10.16493452;1.98833092;70.15824557;3285.876992
Ene-16;0.53176831;134.1032388;42.96538828;277.5938202;9.75658017;107.6494318;136.4176146;59.22680307;5.45346416;17.92254778;241.66455;39.52835485;182.2793273;29.34312251;536.6016911;1.95911141;1.52031931;182.6827962;34.77550853;204.7288153;128.131204;2.61005074;29.3360063;10.16946055;2.71022127;55.27490314;2474.9361
Feb-16;0.68969472;223.5664959;38.08898201;330.3704197;10.16594984;73.17569204;206.9842617;67.17586844;1.81405262;11.13575941;188.1959037;44.40016153;162.0527675;24.84367316;575.5198882;1.35578151;3.35304788;70.16706452;68.85401481;144.5602508;98.61032326;2.05606912;23.49930167;10.68962921;2.18956372;73.33289621;2456.847513
Mar-16;0;215.8413088;54.54824025;383.9888854;26.14325834;186.6490563;305.5083728;79.06621112;3.79373209;6.05145868;211.2726853;47.76665609;176.5903145;22.26491863;602.5072577;1.80106321;3.11428329;108.7995363;28.7497935;141.2795135;114.5313295;2.61603351;27.9662041;10.26283377;2.24779057;58.74754343;2822.108281
Abr-16;0.19625788;277.1326711;72.74209698;381.3618295;15.04313994;90.60962208;292.2901423;76.43709531;6.17189848;12.31868916;194.2365671;52.25782405;215.7351537;24.08255156;562.8200237;2.58457607;2.98324985;152.9182752;30.9128162;119.4729747;111.0155261;3.37510375;18.54215744;9.87690693;2.66781309;76.60714781;2804.39211
May-16;0.26018012;248.6368247;102.4873243;372.8403106;33.37121444;78.34937319;256.3977277;125.5300731;4.78679014;3.66572985;247.3056285;72.16383467;192.1334808;27.55986074;624.3906406;1.37274209;2.72167336;99.93372638;10.56895017;146.5856998;99.99267522;3.81447491;20.08867796;10.31322477;1.50941866;71.46762826;2858.247885
Jun-16;1.19213732;200.2843552;47.61142959;326.1509823;11.90585173;144.8179816;319.1290883;45.58737874;8.30837211;6.21027274;191.6532676;54.77151533;247.6955844;26.10073034;624.9985701;1.30652078;4.15956802;94.2586336;26.36653395;106.0345984;120.6929447;3.99036509;9.28655861;7.51426019;1.67338564;72.12774251;2703.828629
Jul-16;2.90912837;219.4723792;181.7664638;395.2237515;19.48467399;146.8108987;404.9086447;157.642884;3.1465928;0.70283891;251.5257935;45.6006215;226.0599125;25.3273516;752.1577465;2.9755404;2.912846;134.0920923;20.03897279;112.7860946;137.5321293;6.30071573;23.63891085;7.18202978;2.85200248;68.8366697;3351.887685
Ago-16;4.17230603;220.0077784;73.38587689;402.5526484;29.29682116;165.8631879;453.6119762;110.0183928;2.82530676;0.64150994;234.7583824;75.30590854;174.8805956;42.716609;759.4661941;3.68450748;2.28587292;114.2461037;6.56370785;121.7159427;132.421533;10.03340608;27.16922438;8.7941088;1.69656282;81.93521427;3260.049678
Set-16;5.55324438;254.4024512;124.1589773;348.1287431;33.36872348;130.5554751;377.7127743;73.29523199;9.14247914;1.18471761;186.4125761;68.51657253;223.6926987;46.39217095;762.0745956;1.28782584;4.38327437;140.534022;31.15754994;168.1617298;157.5001855;10.32978542;24.66202608;12.51478608;1.79779514;66.13155551;3263.051967
Oct-16;6.6481978;256.0511328;221.802489;406.1334554;22.14236777;141.7816252;368.0729584;157.2120484;1.99849412;0.93339555;213.4241549;74.69417323;273.8680565;49.25718792;764.9783562;5.43124102;9.07220383;135.9816167;33.49367908;174.7813495;132.5732676;8.53618637;35.54873914;10.13364906;2.43651065;55.03534327;3562.02188
Nov-16;5.2145579;166.5122196;239.7809477;383.9781805;20.21052575;160.9979336;368.1468642;113.8864911;4.12668338;0.79016199;254.6165163;81.46192976;223.054237;48.54424311;748.176673;1.68205954;9.53477866;60.36395448;29.95278673;247.0108444;117.4966156;9.83473012;50.55021102;11.36680782;1.09644757;50.75340518;3409.140806
Dic-16;4.99095712;259.5766536;338.9003433;418.9826535;30.64630125;147.8998187;483.4033662;108.3832937;3.52815119;0.73333272;332.6525755;139.2699775;254.7610906;51.91552134;802.7013469;1.89341002;2.42284735;126.0889216;25.39737255;337.0155223;140.505062;8.47891782;25.85016553;11.98848127;1.95035626;57.28594523;4117.222385
Ene-17;1.7461847;249.1100991;241.9096622;346.1725615;17.00553883;101.5508961;379.4571722;50.17306089;1.18992729;0.62140443;307.4823538;92.38722395;176.230641;28.82575146;758.4787669;1.5008869;3.41353956;85.98140815;23.27427664;223.6280073;103.881021;7.20215421;29.74034643;9.01916769;1.22793908;55.61703429;3296.827026
Feb-17;0.88167348;316.107863;276.1674264;357.8704528;25.89039781;123.6327657;514.144261;93.0450617;7.45600791;0.56709955;245.6012749;89.03579329;166.2636876;22.4669895;824.6281765;5.31175252;3.69885132;92.39883174;3.75860561;170.4534187;140.6688612;4.57582256;23.14569421;10.71905509;1.45205305;56.47206389;3576.413941
Mar-17;0.164386;296.3417176;222.9693554;409.1523533;15.74687207;91.48212943;407.7043257;86.71521916;1.81378926;5.98582966;227.7532273;40.91581472;166.4171495;19.93970877;772.2004804;1.6911486;3.46731618;132.5295319;8.25122908;174.3396237;112.6122474;4.72415418;17.28985723;14.69301473;2.21179886;63.04699755;3300.159278
Abr-17;0.22398383;296.5470164;142.7989289;389.0431261;32.66204513;69.17818527;395.6054591;122.7211424;3.99408983;0.27708255;272.727119;52.70133339;172.8798801;26.92608084;687.0767496;1.69445871;8.290104;102.3936534;3.28221608;120.1651567;125.6671894;3.05879875;16.14262707;10.59563579;1.67140731;81.32931618;3139.652786
May-17;1.4926617;277.9971911;239.3828925;375.7519892;23.3470697;134.2513271;462.2183901;89.87184654;1.30705607;0.71107257;237.4744662;122.8293522;242.5079778;35.30132391;787.1947095;1.57672403;6.42356165;126.2151138;15.63502783;139.6453447;115.3691214;7.56911365;18.11920949;12.83696312;2.05091141;70.0075854;3547.088003
Jun-17;2.57803466;372.1897247;216.048851;455.0350078;22.72074676;112.3954768;514.1592131;137.4125645;6.84234657;0.7138236;220.1043815;95.15002645;294.989594;22.10804142;830.4146043;1.44461687;9.76128697;110.7774476;19.97229434;174.7846184;118.1261614;7.73709939;19.65639286;14.1040712;2.24448774;88.06986419;3869.540778
Jul-17;2.08399423;234.3136574;161.2182481;357.5557295;20.75791681;130.0429903;533.1478357;64.00346996;4.76801539;0.84635406;267.1779917;56.60937947;232.5350397;22.41826505;835.5404999;1.53703505;13.51488939;87.09722023;26.19921129;148.195818;113.7318135;12.98741961;19.26643151;10.49113535;2.18418513;88.9549714;3447.179518
Ago-17;5.79683906;260.274847;274.5017054;465.5223795;44.18178102;162.1485619;552.4315647;147.8426093;3.12043655;2.98764059;289.5055027;87.92913527;269.6353478;28.97788656;856.7780864;1.29200283;7.58207597;97.4261652;6.20868135;172.2917305;149.7701511;15.38163455;26.90571198;9.58829019;1.91860834;127.4422517;4067.441627
Set-17;4.04114345;395.9857176;278.4241517;521.7095743;22.89803471;181.5817043;562.5870399;119.9326606;2.10883793;0.77859367;266.1367945;69.0044321;307.8646544;32.88706719;860.4646654;1.9659988;5.99294976;238.2603122;34.81509663;130.5181278;170.6246106;12.38662715;24.12716907;10.8224873;1.43687964;136.3200662;4393.675397
Oct-17;4.48166121;267.0154962;240.7827828;434.0761771;26.84955;162.4495772;560.8758522;157.2553347;2.39323178;7.4034534;271.358629;81.5147749;291.5174511;55.89803509;784.8632615;1.58254916;7.51592738;170.4076888;14.41840937;169.0262683;131.9536345;10.679176;24.83495892;13.9061402;1.03434236;92.4622903;3986.556653
Nov-17;7.40615394;344.4940607;376.8139114;455.6584263;30.19484799;138.6534524;522.2506227;151.5467898;2.37761772;1.01553271;274.0132712;59.49135874;251.1460852;68.64129879;846.1328256;1.61843565;6.46992036;163.2775913;38.90884666;211.3387637;136.9112841;4.53023723;18.44218767;14.28576784;1.87990939;85.59616281;4213.095362
Dic-17;4.24553725;445.3513258;172.1330075;502.3440611;26.48633916;133.4519113;582.3894156;215.7757245;3.87115895;8.09110754;431.4997604;69.21763737;262.5579605;54.54744464;881.0195953;1.15399505;4.54632501;191.4497077;19.63205507;274.0658396;142.1783339;5.03607745;31.14472307;11.765316;1.52250484;108.9595052;4584.43637
Ene-18;2.40446246;311.2117971;299.3908042;458.7579873;25.75498489;157.3873991;505.1850806;95.56134254;2.08550777;0.79298041;403.9208513;50.50383817;216.8896594;27.42477436;806.3984516;1.66286186;7.43325503;141.9901053;12.50856566;276.347755;135.8764713;4.80469282;15.21524132;11.34265155;1.14745706;116.6264324;4088.62541
Feb-18;1.72704697;333.9964527;189.2155191;343.3462925;21.68937442;69.32133016;555.2966858;261.5972099;2.39019552;0.73194324;263.9707443;68.34585959;214.3922733;32.43561663;686.2486636;1.1090451;6.27898723;140.7453869;5.07443329;202.5121039;139.9934123;3.56558913;18.79344933;10.76810456;1.23882947;96.19438764;3670.978937
Mar-18;0.55098758;415.2166126;199.2083695;530.8688246;22.98070408;80.91034122;522.3914268;178.475862;2.18256104;0.49280629;278.4767933;156.085758;187.6453502;32.07782941;848.9134228;22.3495787;7.26024715;151.380321;57.72172491;233.4065561;156.2441732;7.43731933;14.53618661;13.41269056;1.68707691;69.63523821;4191.548762
Abr-18;0.17338282;385.8820549;156.2126077;416.2653531;43.90327411;142.845987;491.9441708;146.6872824;1.88217284;0.98582837;275.4782196;98.96305688;166.7716607;38.69004626;802.1592035;1.39573175;4.57932757;193.9272951;9.6818504;191.4319466;129.0238189;5.08807112;18.23676107;11.25473512;1.96481161;71.75060615;3807.179256
